"","Select characteristics...1","Total","device_always","device_usually","device_sometimes","device_rarely","device_never","device_nr","internet_always","internet_usually","internet_sometimes","internet_rarely","internet_never","internet_nr","State","Week"
"82","50000-74999",131370,89547,29293,1141,11389,0,0,97554,17035,15509,1272,0,0,"AR",1
"83","75000-99999",66921,52494,13622,805,0,0,0,48094,15217,3610,0,0,0,"AR",1
"84","100000-149999",58240,35611,21808,821,0,0,0,47251,4415,6575,0,0,0,"AR",1
"85","150000-199999",24692,22704,0,1988,0,0,0,21405,1299,0,1988,0,0,"AR",1
"86","200000<",35473,30539,1944,0,2990,0,0,30544,969,969,0,2990,0,"AR",1
"87","income_nr",28785,6292,3666,0,1141,0,17686,5992,3017,0,0,0,19776,"AR",1
"88","Total",1636868,1062682,282626,191989,20203,72463,6905,1133597,338040,69844,19227,61298,14862,"AZ",1
"89","comp_school",387721,235865,86816,65039,0,0,0,257073,79592,34053,1285,13521,2197,"AZ",1
"90","comp_home",1291646,909617,213779,149343,18906,0,0,955057,274222,48187,14179,0,0,"AZ",1
"91","comp_other",41568,27256,11741,1275,1297,0,0,38013,2258,0,1297,0,0,"AZ",1
"92","comp_nr",87893,7139,0,1385,0,72463,6905,21819,3166,0,2466,47777,12666,"AZ",1
"93","int_school",0,0,0,0,0,0,0,0,0,0,0,0,0,"AZ",1
"94","int_home",1531216,1023771,282626,182314,18906,22221,1379,1118236,332195,68335,12451,0,0,"AZ",1
"95","int_other",31385,24168,0,7217,0,0,0,24168,2695,1509,3013,0,0,"AZ",1
"96","int_nr",97568,38045,0,2458,1297,50243,5526,14495,3150,0,3763,61298,14862,"AZ",1
"97","yes_unemployed",882557,530329,159741,117415,10276,59270,5526,542747,244383,33776,14281,36371,10999,"AZ",1
"98","no_unemployed",754311,532352,122885,74575,9927,13193,1379,590850,93657,36068,4946,24927,3863,"AZ",1
"99","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"AZ",1
"100","resp_employed_yes",905056,634762,148632,111735,1638,6911,1379,647508,185940,33954,14917,16179,6558,"AZ",1
"101","resp_employed_no",731811,427920,133994,80255,18565,65552,5526,486089,152100,35890,4310,45119,8304,"AZ",1
"102","resp_employed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"AZ",1
